[billing] listening on :9102 db=/workspace/data/billing.db holds=['inv-1']
[billing] "GET /health HTTP/1.1" 200 -
[billing] "GET /health HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "GET /records/inv-1 HTTP/1.1" 423 -
[billing] "POST /replica-events HTTP/1.1" 410 -
[billing] "GET /records/inv-1 HTTP/1.1" 423 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-1 HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /admin/fault HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 409 -
[billing] "GET /records/inv-c1 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /admin/fault HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 503 -
[billing] "POST /admin/holds HTTP/1.1" 200 -
[billing] "POST /admin/fault HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 423 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 423 -
[billing] "GET /internal/commands/cmd_740e59543ed2 HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /records/inv-h3 HTTP/1.1" 423 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /admin/fault HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 409 -
[billing] "GET /records/inv-i1 HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /seed HTTP/1.1" 201 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/commands HTTP/1.1" 200 -
[billing] "POST /internal/tombstones HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "POST /internal/resolve HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
[billing] "GET /internal/holds/inv-h3 HTTP/1.1" 200 -
