[orders] listening on :9101 db=/workspace/data/orders.db holds=none
[orders] "GET /health HTTP/1.1" 200 -
[orders] "GET /health HTTP/1.1" 200 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /replica-events HTTP/1.1" 410 -
[orders] "GET /records/ord-1 HTTP/1.1" 404 -
[orders] "POST /replica-events HTTP/1.1" 410 -
[orders] "GET /records/ord-2 HTTP/1.1" 404 -
[orders] "GET /admin/quarantine HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "GET /internal/commands/cmd_250e42a0da86 HTTP/1.1" 404 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 503 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "GET /records/ord-d1 HTTP/1.1" 423 -
[orders] "GET /internal/holds/ord-d1 HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/commands HTTP/1.1" 200 -
[orders] "POST /internal/tombstones HTTP/1.1" 200 -
[orders] "POST /seed HTTP/1.1" 201 -
[orders] "POST /admin/fault HTTP/1.1" 200 -
[orders] "POST /internal/resolve HTTP/1.1" 200 -
