[profile] listening on :9103 db=/workspace/data/profile.db holds=none
[profile] "GET /health HTTP/1.1" 200 -
[profile] "GET /health HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "POST /replica-events HTTP/1.1" 410 -
[profile] "GET /records/prof-1 HTTP/1.1" 404 -
[profile] "POST /seed HTTP/1.1" 410 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /admin/fault HTTP/1.1" 200 -
[profile] "POST /admin/fault HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 503 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /admin/fault HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /seed HTTP/1.1" 201 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/commands HTTP/1.1" 200 -
[profile] "POST /internal/tombstones HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "POST /internal/resolve HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
[profile] "GET /internal/holds/prof-g1 HTTP/1.1" 200 -
